Delayed,CARRIER,DAY_OF_WEEK,DEP_TIME,DEST,ORIGIN,Weather,Origin_BWI
0,OH,4,1455,JFK,BWI,0,
0,DH,4,1640,JFK,DCA,0,
0,DH,4,1245,LGA,IAD,0,
0,DH,4,1709,LGA,IAD,0,
0,DH,4,1035,LGA,IAD,0,
0,DH,4,839,JFK,IAD,0,
0,DH,4,1243,JFK,IAD,0,
0,DH,4,1644,JFK,IAD,0,
0,DH,4,1710,JFK,IAD,0,
0,DH,4,2129,JFK,IAD,0,
0,DH,4,2114,LGA,IAD,0,
0,DL,4,1458,JFK,DCA,0,
0,DL,4,932,LGA,DCA,0,
0,DL,4,1228,LGA,DCA,0,
0,DL,4,1429,LGA,DCA,0,
0,DL,4,1728,LGA,DCA,0,
0,DL,4,2029,LGA,DCA,0,
0,MQ,4,1525,JFK,DCA,0,
0,MQ,4,556,JFK,DCA,0,
0,MQ,4,1822,JFK,DCA,0,
0,MQ,4,853,LGA,DCA,0,
0,MQ,4,1254,LGA,DCA,0,
0,MQ,4,1356,LGA,DCA,0,
0,MQ,4,1452,LGA,DCA,0,
0,MQ,4,1853,LGA,DCA,0,
0,UA,4,841,LGA,IAD,0,
0,US,4,858,LGA,DCA,0,
0,US,4,1056,LGA,DCA,0,
0,US,4,1253,LGA,DCA,0,
0,US,4,1458,LGA,DCA,0,
0,US,4,1655,LGA,DCA,0,
0,US,4,2055,LGA,DCA,0,
0,RU,4,1452,EWR,BWI,0,
0,RU,4,1710,EWR,BWI,0,
0,RU,4,1030,EWR,BWI,0,
0,RU,4,656,EWR,BWI,0,
0,CO,4,1256,EWR,DCA,0,
0,CO,4,1726,EWR,DCA,0,
0,DH,4,840,EWR,IAD,0,
0,DH,4,1704,EWR,IAD,0,
0,DH,4,1245,EWR,IAD,0,
0,DH,4,2118,EWR,IAD,0,
0,RU,4,1651,EWR,IAD,0,
0,RU,4,1850,EWR,IAD,0,
0,RU,4,1521,EWR,DCA,0,
0,RU,4,1855,EWR,DCA,0,
0,RU,4,1357,EWR,DCA,0,
0,RU,4,1508,EWR,IAD,0,
0,RU,4,1255,EWR,IAD,0,
0,RU,4,1625,EWR,DCA,0,
0,OH,5,1455,JFK,BWI,0,
0,DH,5,1641,JFK,DCA,0,
0,DH,5,1249,LGA,IAD,0,
1,DH,5,1531,LGA,IAD,0,
0,DH,5,1712,LGA,IAD,0,
0,DH,5,645,LGA,IAD,0,
1,DH,5,1236,LGA,IAD,0,
0,DH,5,859,JFK,IAD,0,
0,DH,5,1232,JFK,IAD,0,
0,DH,5,1455,JFK,IAD,0,
0,DH,5,1645,JFK,IAD,0,
0,DH,5,1716,JFK,IAD,0,
1,DH,5,2305,JFK,IAD,0,
0,DH,5,1605,JFK,IAD,0,
0,DH,5,2118,LGA,IAD,0,
0,DL,5,1458,JFK,DCA,0,
0,DL,5,930,LGA,DCA,0,
0,DL,5,1230,LGA,DCA,0,
0,DL,5,1427,LGA,DCA,0,
0,DL,5,1730,LGA,DCA,0,
0,DL,5,2028,LGA,DCA,0,
0,MQ,5,1522,JFK,DCA,0,
0,MQ,5,552,JFK,DCA,0,
0,MQ,5,1847,JFK,DCA,0,
0,MQ,5,852,LGA,DCA,0,
0,MQ,5,1053,LGA,DCA,0,
0,MQ,5,1258,LGA,DCA,0,
0,MQ,5,1402,LGA,DCA,0,
0,MQ,5,1456,LGA,DCA,0,
0,UA,5,850,LGA,IAD,0,
0,US,5,657,LGA,DCA,0,
0,US,5,857,LGA,DCA,0,
0,US,5,1058,LGA,DCA,0,
0,US,5,1258,LGA,DCA,0,
0,US,5,1458,LGA,DCA,0,
0,US,5,1655,LGA,DCA,0,
0,US,5,1855,LGA,DCA,0,
0,US,5,2056,LGA,DCA,0,
0,RU,5,1715,EWR,BWI,0,
0,RU,5,1030,EWR,BWI,0,
0,RU,5,656,EWR,BWI,0,
0,RU,5,1456,EWR,BWI,0,
0,CO,5,1727,EWR,DCA,0,
0,CO,5,1301,EWR,DCA,0,
0,CO,5,754,EWR,DCA,0,
0,DH,5,837,EWR,IAD,0,
1,DH,5,1350,EWR,IAD,0,
1,DH,5,1512,EWR,IAD,0,
0,DH,5,629,EWR,IAD,0,
0,RU,5,1625,EWR,DCA,0,
0,RU,5,655,EWR,IAD,0,
0,RU,5,858,EWR,DCA,0,
0,RU,5,657,EWR,DCA,0,
0,RU,5,1650,EWR,IAD,0,
0,RU,5,1856,EWR,IAD,0,
0,RU,5,1253,EWR,IAD,0,
0,RU,5,854,EWR,IAD,0,
0,RU,5,1858,EWR,DCA,0,
0,RU,5,2050,EWR,DCA,0,
0,RU,5,1358,EWR,DCA,0,
1,RU,5,1510,EWR,IAD,0,
0,RU,5,1519,EWR,DCA,0,
0,DH,6,1243,LGA,IAD,0,
0,DH,6,1738,LGA,IAD,0,
0,DH,6,640,LGA,IAD,0,
0,DH,6,1030,LGA,IAD,0,
0,DH,6,855,JFK,IAD,0,
0,DH,6,1237,JFK,IAD,0,
0,DH,6,1455,JFK,IAD,0,
0,DH,6,1654,JFK,IAD,0,
0,DH,6,1741,JFK,IAD,0,
1,DH,6,2213,JFK,IAD,0,
0,DH,6,1604,JFK,IAD,0,
0,DH,6,2138,LGA,IAD,0,
1,DL,6,1505,JFK,DCA,0,
0,DL,6,828,LGA,DCA,0,
0,DL,6,1030,LGA,DCA,0,
0,DL,6,1230,LGA,DCA,0,
0,DL,6,1428,LGA,DCA,0,
0,DL,6,1629,LGA,DCA,0,
0,DL,6,1829,LGA,DCA,0,
0,DL,6,2024,LGA,DCA,0,
1,MQ,6,1600,JFK,DCA,0,
