"","x"
"1",1225
"2",1234
"3",1250
"4",1226
"5",1263
"6",1218
"7",1228
"8",1219
"9",1245
"10",1268
"11",1210
"12",1252
"13",1237
"14",1235
"15",1222
"16",1208
"17",1226
"18",1237
"19",1236
"20",1192
"21",1234
"22",1242
"23",1249
"24",1237
"25",1250
"26",1251
"27",1237
"28",1204
"29",1236
"30",1215
"31",1198
"32",1208
"33",1237
"34",1274
"35",1261
"36",1193
"37",1233
"38",1217
"39",1254
"40",1244
"41",1221
"42",1215
"43",1237
"44",1262
"45",1213
"46",1220
"47",1227
"48",1195
"49",1274
"50",1246
"51",1239
"52",1247
"53",1264
"54",1198
"55",1221
"56",1238
"57",1232
"58",1201
"59",1204
"60",1244
"61",1213
"62",1226
"63",1261
"64",1240
"65",1262
"66",1239
"67",1258
"68",1242
"69",1252
"70",1254
"71",1215
"72",1211
"73",1233
"74",1247
"75",1226
"76",1216
"77",1242
"78",1227
"79",1282
"80",1233
"81",1232
"82",1196
"83",1241
"84",1192
"85",1214
"86",1230
"87",1204
"88",1231
"89",1247
"90",1201
"91",1217
"92",1244
"93",1199
"94",1234
"95",1211
"96",1221
"97",1242
"98",1276
"99",1229
"100",1254
"101",1238
"102",1225
"103",1212
"104",1238
"105",1245
"106",1264
"107",1237
"108",1268
"109",1231
"110",1253
"111",1242
"112",1260
"113",1273
"114",1228
"115",1206
"116",1220
"117",1239
"118",1228
"119",1240
"120",1186
"121",1229
"122",1215
"123",1201
"124",1203
"125",1237
"126",1226
"127",1255
"128",1247
"129",1243
"130",1256
"131",1216
"132",1213
"133",1186
"134",1220
"135",1211
"136",1216
"137",1211
"138",1228
"139",1194
"140",1220
"141",1213
"142",1229
"143",1224
"144",1215
"145",1230
"146",1237
"147",1248
"148",1238
"149",1238
"150",1228
"151",1236
"152",1225
"153",1230
"154",1237
"155",1257
"156",1207
"157",1239
"158",1253
"159",1240
"160",1215
"161",1249
"162",1209
"163",1233
"164",1235
"165",1261
"166",1227
"167",1216
"168",1242
"169",1227
"170",1227
"171",1212
"172",1211
"173",1231
"174",1212
"175",1227
"176",1209
"177",1234
"178",1204
"179",1225
"180",1187
"181",1231
"182",1218
"183",1245
"184",1213
"185",1263
"186",1210
"187",1239
"188",1244
"189",1218
"190",1225
"191",1231
"192",1226
"193",1227
"194",1232
"195",1196
"196",1249
"197",1224
"198",1222
"199",1249
"200",1223
"201",1250
"202",1226
"203",1281
"204",1224
"205",1206
"206",1242
"207",1203
"208",1218
"209",1256
"210",1192
"211",1207
"212",1276
"213",1255
"214",1228
"215",1225
"216",1213
"217",1229
"218",1228
"219",1184
"220",1245
"221",1225
"222",1235
"223",1229
"224",1211
"225",1253
"226",1201
"227",1216
"228",1216
"229",1201
"230",1239
"231",1210
"232",1230
"233",1241
"234",1209
"235",1202
"236",1219
"237",1241
"238",1217
"239",1256
"240",1226
"241",1230
"242",1206
"243",1212
"244",1216
"245",1230
"246",1279
"247",1235
"248",1224
"249",1208
"250",1178
"251",1200
"252",1229
"253",1212
"254",1250
"255",1230
"256",1209
"257",1229
"258",1234
"259",1248
"260",1224
"261",1248
"262",1227
"263",1237
"264",1249
"265",1209
"266",1246
"267",1216
"268",1229
"269",1240
"270",1222
"271",1227
"272",1210
"273",1245
"274",1245
"275",1218
"276",1245
"277",1227
"278",1258
"279",1210
"280",1215
"281",1233
"282",1238
"283",1258
"284",1248
"285",1209
"286",1254
"287",1250
"288",1191
"289",1238
"290",1194
"291",1215
"292",1229
"293",1251
"294",1220
"295",1207
"296",1228
"297",1211
"298",1218
"299",1226
"300",1261
"301",1252
"302",1197
"303",1215
"304",1248
"305",1202
"306",1221
"307",1199
"308",1217
"309",1269
"310",1227
"311",1202
"312",1227
"313",1253
"314",1209
"315",1228
"316",1236
"317",1235
"318",1204
"319",1248
"320",1240
"321",1273
"322",1251
"323",1242
"324",1240
"325",1256
"326",1235
"327",1229
"328",1223
"329",1234
"330",1205
"331",1247
"332",1242
"333",1211
"334",1230
"335",1228
"336",1222
"337",1195
"338",1269
"339",1245
"340",1237
"341",1218
"342",1216
"343",1245
"344",1223
"345",1206
"346",1263
"347",1208
"348",1245
"349",1232
"350",1195
"351",1236
"352",1233
"353",1212
"354",1229
"355",1237
"356",1181
"357",1233
"358",1263
"359",1208
"360",1223
"361",1217
"362",1230
"363",1270
"364",1252
"365",1210
"366",1264
"367",1203
"368",1252
"369",1218
"370",1246
"371",1247
"372",1233
"373",1217
"374",1213
"375",1222
"376",1225
"377",1229
"378",1209
"379",1219
"380",1192
"381",1212
"382",1223
"383",1244
"384",1243
"385",1258
"386",1227
"387",1240
"388",1232
"389",1214
"390",1228
"391",1232
"392",1224
"393",1247
"394",1223
"395",1242
"396",1223
"397",1238
"398",1251
"399",1183
"400",1225
