"","연도","직종","회차","일련번호","과목명","과목별점수"
"1",2015,"의사(필기)",79,"50349","보건의약관계 법규",12
"2",2015,"의사(필기)",79,"50349","의학각론1(R형)",34
"3",2015,"의사(필기)",79,"50349","의학각론2",33
"4",2015,"의사(필기)",79,"50349","의학각론3",51
"5",2015,"의사(필기)",79,"50349","의학각론4",54
"6",2015,"의사(필기)",79,"50349","의학각론5",50
"7",2015,"의사(필기)",79,"50349","의학총론1",43
"8",2015,"의사(필기)",79,"50349","의학총론2(R형)",11
"9",2015,"의사(필기)",79,"50350","보건의약관계 법규",13
"10",2015,"의사(필기)",79,"50350","의학각론1(R형)",28
"11",2015,"의사(필기)",79,"50350","의학각론2",27
"12",2015,"의사(필기)",79,"50350","의학각론3",43
"13",2015,"의사(필기)",79,"50350","의학각론4",42
"14",2015,"의사(필기)",79,"50350","의학각론5",50
"15",2015,"의사(필기)",79,"50350","의학총론1",50
"16",2015,"의사(필기)",79,"50350","의학총론2(R형)",11
"17",2015,"의사(필기)",79,"50351","보건의약관계 법규",17
"18",2015,"의사(필기)",79,"50351","의학각론1(R형)",34
"19",2015,"의사(필기)",79,"50351","의학각론2",29
"20",2015,"의사(필기)",79,"50351","의학각론3",55
"21",2015,"의사(필기)",79,"50351","의학각론4",57
"22",2015,"의사(필기)",79,"50351","의학각론5",50
"23",2015,"의사(필기)",79,"50351","의학총론1",48
"24",2015,"의사(필기)",79,"50351","의학총론2(R형)",10
"25",2015,"의사(필기)",79,"50352","보건의약관계 법규",12
"26",2015,"의사(필기)",79,"50352","의학각론1(R형)",32
"27",2015,"의사(필기)",79,"50352","의학각론2",33
"28",2015,"의사(필기)",79,"50352","의학각론3",46
"29",2015,"의사(필기)",79,"50352","의학각론4",50
"30",2015,"의사(필기)",79,"50352","의학각론5",51
"31",2015,"의사(필기)",79,"50352","의학총론1",53
"32",2015,"의사(필기)",79,"50352","의학총론2(R형)",11
"33",2015,"의사(필기)",79,"50353","보건의약관계 법규",15
"34",2015,"의사(필기)",79,"50353","의학각론1(R형)",18
"35",2015,"의사(필기)",79,"50353","의학각론2",26
"36",2015,"의사(필기)",79,"50353","의학각론3",44
"37",2015,"의사(필기)",79,"50353","의학각론4",40
"38",2015,"의사(필기)",79,"50353","의학각론5",44
"39",2015,"의사(필기)",79,"50353","의학총론1",36
"40",2015,"의사(필기)",79,"50353","의학총론2(R형)",11
"41",2015,"의사(필기)",79,"50354","보건의약관계 법규",16
"42",2015,"의사(필기)",79,"50354","의학각론1(R형)",35
"43",2015,"의사(필기)",79,"50354","의학각론2",38
"44",2015,"의사(필기)",79,"50354","의학각론3",58
"45",2015,"의사(필기)",79,"50354","의학각론4",54
"46",2015,"의사(필기)",79,"50354","의학각론5",62
"47",2015,"의사(필기)",79,"50354","의학총론1",53
"48",2015,"의사(필기)",79,"50354","의학총론2(R형)",10
"49",2015,"의사(필기)",79,"50355","보건의약관계 법규",17
"50",2015,"의사(필기)",79,"50355","의학각론1(R형)",39
"51",2015,"의사(필기)",79,"50355","의학각론2",39
"52",2015,"의사(필기)",79,"50355","의학각론3",63
"53",2015,"의사(필기)",79,"50355","의학각론4",66
